Year,State,District,Pop_2024_Est,Total_Violence,Crime_Rate,Police_Vacancy_Rate,Spousal_Violence_Percent,Sought_Help_Percent
2021,Assam,CID,1324826,1.0,0.07548161041525453,0.15185629065054335,32.0,5.9
2021,Assam,Cachar,1997109,653.0,32.697263894960166,0.15185629065054335,32.0,5.9
2021,Assam,Chirang,554486,180.0,32.46249679883712,0.15185629065054335,32.0,5.9
2021,Assam,Darrang,1067775,572.0,53.56933810962047,0.15185629065054335,32.0,5.9
2021,Assam,Dhemaji,789052,210.0,26.61421553966025,0.15185629065054335,32.0,5.9
2021,Assam,Dhubri,2241646,1246.0,55.58415557139709,0.15185629065054335,32.0,5.9
2021,Assam,Dibrugarh,1525285,431.0,28.257014262908243,0.15185629065054335,32.0,5.9
2021,Assam,GRP,1324826,0.0,0.0,0.15185629065054335,32.0,5.9
2021,Assam,Goalpara,1159410,211.0,18.1989115153397,0.15185629065054335,32.0,5.9
2021,Assam,Golaghat,1226921,401.0,32.68344090613821,0.15185629065054335,32.0,5.9
2021,Assam,Guwahati City,1324826,1001.0,75.55709202566979,0.15185629065054335,32.0,5.9
2021,Assam,Hailakandi,758190,535.0,70.56278769173954,0.15185629065054335,32.0,5.9
2021,Assam,Hamren,1324826,25.0,1.8870402603813634,0.15185629065054335,32.0,5.9
2021,Assam,Jorhat,1256094,573.0,45.617605051851214,0.15185629065054335,32.0,5.9
2021,Assam,Kamrup,1745173,641.0,36.729882939972136,0.15185629065054335,32.0,5.9
2021,Assam,Karbi Anglong,1099759,101.0,9.183830275542187,0.15185629065054335,32.0,5.9
2021,Assam,Karimganj,1412988,532.0,37.650708993990044,0.15185629065054335,32.0,5.9
2021,Assam,Kokrajhar,1020213,273.0,26.759117948898908,0.15185629065054335,32.0,5.9
2021,Assam,Lakhimpur,1198457,486.0,40.55214329759015,0.15185629065054335,32.0,5.9
2021,Assam,Morigaon,1101036,1004.0,91.18684584336934,0.15185629065054335,32.0,5.9
2021,Assam,Dima Hasao,246217,6.0,2.4368747893118674,0.15185629065054335,32.0,5.9
2021,Assam,Nagaon,3247333,1066.0,32.82693829059107,0.15185629065054335,32.0,5.9
2021,Assam,Nalbari,887384,303.0,34.14530800645493,0.15185629065054335,32.0,5.9
2021,Assam,RPO,1324826,8.0,0.6038528833220362,0.15185629065054335,32.0,5.9
2021,Assam,SOU,1324826,0.0,0.0,0.15185629065054335,32.0,5.9
2021,Assam,STF,1324826,0.0,0.0,0.15185629065054335,32.0,5.9
2021,Assam,Sibsagar,1324826,369.0,27.85271424322892,0.15185629065054335,32.0,5.9
2021,Assam,Sonitpur,2212726,625.0,28.24570235989454,0.15185629065054335,32.0,5.9
2021,Assam,Tinsukia,1527118,372.0,24.359610717704854,0.15185629065054335,32.0,5.9
2021,Assam,Udalguri,956418,168.0,17.56554142644743,0.15185629065054335,32.0,5.9
2021,Assam,Sadia,1324826,53.0,4.0005253520084905,0.15185629065054335,32.0,5.9
2021,Assam,Majuli,1324826,36.0,2.717337974949163,0.15185629065054335,32.0,5.9
2021,Assam,Biswanath,1324826,198.0,14.945358862220397,0.15185629065054335,32.0,5.9
2021,Assam,Hojai,1324826,665.0,50.19527092614426,0.15185629065054335,32.0,5.9
2021,Assam,South Salmara,1324826,399.0,30.117162555686555,0.15185629065054335,32.0,5.9
2021,Assam,Charaideo,1324826,59.0,4.453415014500018,0.15185629065054335,32.0,5.9
2021,Assam,Total Districts ,1324826,14924.0,1126.4875538372587,0.15185629065054335,32.0,5.9
2021,Bihar,Araria,3233304,102.0,3.1546677949243254,0.33493574660633485,40.0,3.5
2021,Bihar,Arwal,805969,22.0,2.729633521884837,0.33493574660633485,40.0,3.5
2021,Bihar,Aurangabad,2921083,90.0,3.081049049273848,0.33493574660633485,40.0,3.5
2021,Bihar,Aurangabad,4256474,90.0,2.114426165882841,0.33493574660633485,40.0,3.5
2021,Bihar,Bagaha,3064997,54.0,1.7618288044001347,0.33493574660633485,40.0,3.5
2021,Bihar,Banka,2339977,28.0,1.1965929579649714,0.33493574660633485,40.0,3.5
2021,Bihar,Begusarai,3416122,68.0,1.9905612270287771,0.33493574660633485,40.0,3.5
2021,Bihar,Bettiah,3064997,130.0,4.241439714296621,0.33493574660633485,40.0,3.5
2021,Bihar,Kaimur(Bhabhua),1870341,29.0,1.5505193972649909,0.33493574660633485,40.0,3.5
2021,Bihar,Bhagalpur,3493430,116.0,3.320518802437719,0.33493574660633485,40.0,3.5
2021,Bihar,Bhojpur,3137668,130.0,4.143204443554895,0.33493574660633485,40.0,3.5
2021,Bihar,Buxar,1962304,71.0,3.6181957535631586,0.33493574660633485,40.0,3.5
2021,Bihar,Darbhanga,4527992,85.0,1.8772117971939881,0.33493574660633485,40.0,3.5
2021,Bihar,Gaya,5050130,196.0,3.8810882096104455,0.33493574660633485,40.0,3.5
2021,Bihar,Gopalganj,2946313,98.0,3.326191073385618,0.33493574660633485,40.0,3.5
2021,Bihar,Jamalpur Railway,3064997,0.0,0.0,0.33493574660633485,40.0,3.5
2021,Bihar,Jamui,2024465,45.0,2.222809482999212,0.33493574660633485,40.0,3.5
2021,Bihar,Jehanabad,1294109,34.0,2.6272902823487048,0.33493574660633485,40.0,3.5
2021,Bihar,Katihar,3531683,118.0,3.3411832262408603,0.33493574660633485,40.0,3.5
2021,Bihar,Katihar Railway,3064997,1.0,0.032626459340743236,0.33493574660633485,40.0,3.5
2021,Bihar,Khagaria,1916918,40.0,2.0866828941039732,0.33493574660633485,40.0,3.5
2021,Bihar,Kishanganj,1943959,75.0,3.858106060878856,0.33493574660633485,40.0,3.5
2021,Bihar,Lakhisarai,1151048,34.0,2.9538299010988247,0.33493574660633485,40.0,3.5
2021,Bihar,Madhepura,2302026,45.0,1.9547998154668973,0.33493574660633485,40.0,3.5
2021,Bihar,Madhubani,5160485,201.0,3.8949827390254987,0.33493574660633485,40.0,3.5
2021,Bihar,Motihari,3064997,242.0,7.8956031604598635,0.33493574660633485,40.0,3.5
2021,Bihar,Munger,1572929,51.0,3.242358682432583,0.33493574660633485,40.0,3.5
2021,Bihar,Muzaffarpur,5521221,236.0,4.274416836420785,0.33493574660633485,40.0,3.5
2021,Bihar,Muzaffarpur Railway,3064997,0.0,0.0,0.33493574660633485,40.0,3.5
2021,Bihar,Nalanda,3309300,156.0,4.713987852415919,0.33493574660633485,40.0,3.5
2021,Bihar,Naugachia,3064997,17.0,0.554649808792635,0.33493574660633485,40.0,3.5
2021,Bihar,Nawadah,3064997,73.0,2.3817315318742565,0.33493574660633485,40.0,3.5
2021,Bihar,Patna,6714234,323.0,4.810675350308017,0.33493574660633485,40.0,3.5
2021,Bihar,Patna Railway,3064997,0.0,0.0,0.33493574660633485,40.0,3.5
