Year,State,District,spousal_violence_pct,sought_help_pct,justice_gap,gap_severity,crime_rate,police_vacancy_rate
2022,Karnataka,Shimoga,44.4,3.8,40.6,CRITICAL GAP,6.2,0.18
2022,Karnataka,Tumakuru,44.4,3.8,40.6,CRITICAL GAP,4.93,0.18
2022,Karnataka,Udupi,44.4,3.8,40.6,CRITICAL GAP,2.95,0.18
2022,Karnataka,Uttara Kannada,44.4,3.8,40.6,CRITICAL GAP,2.0,0.18
2022,Karnataka,Yadgiri,44.4,3.8,40.6,CRITICAL GAP,2.69,0.18
2022,Karnataka,Belagavi City,44.4,3.8,40.6,CRITICAL GAP,5.38,0.18
2022,Karnataka,Kalaburgi City,44.4,3.8,40.6,CRITICAL GAP,3.59,0.18
2022,Karnataka,Vijayanagara,44.4,3.8,40.6,CRITICAL GAP,3.7,0.18
2022,Karnataka,Total Districts ,44.4,3.8,40.6,CRITICAL GAP,200.54,0.18
2023,Karnataka,Bagalkot,44.4,3.8,40.6,CRITICAL GAP,1.43,0.18
2023,Karnataka,Bengaluru City,44.4,3.8,40.6,CRITICAL GAP,50.58,0.18
2023,Karnataka,Bengaluru District,44.4,3.8,40.6,CRITICAL GAP,11.54,0.18
2023,Karnataka,Belagavi District,44.4,3.8,40.6,CRITICAL GAP,8.01,0.18
2023,Karnataka,Ballari,44.4,3.8,40.6,CRITICAL GAP,6.27,0.18
2023,Karnataka,Bidar,44.4,3.8,40.6,CRITICAL GAP,5.36,0.18
2023,Karnataka,Vijayapura,44.4,3.8,40.6,CRITICAL GAP,8.63,0.18
2023,Karnataka,Chikkaballapura,44.4,3.8,40.6,CRITICAL GAP,3.67,0.18
2023,Karnataka,Chamarajnagar,44.4,3.8,40.6,CRITICAL GAP,1.9,0.18
2023,Karnataka,Chikkamagaluru,44.4,3.8,40.6,CRITICAL GAP,2.97,0.18
2023,Karnataka,Chitradurga,44.4,3.8,40.6,CRITICAL GAP,6.81,0.18
2023,Karnataka,Dakshina Kannada,44.4,3.8,40.6,CRITICAL GAP,1.5,0.18
2023,Karnataka,Davanagere,44.4,3.8,40.6,CRITICAL GAP,4.42,0.18
2023,Karnataka,Dharwad,44.4,3.8,40.6,CRITICAL GAP,1.84,0.18
2023,Karnataka,Gadag,44.4,3.8,40.6,CRITICAL GAP,2.86,0.18
2023,Karnataka,Kalaburgi,44.4,3.8,40.6,CRITICAL GAP,5.1,0.18
2023,Karnataka,Hassan,44.4,3.8,40.6,CRITICAL GAP,4.85,0.18
2023,Karnataka,Haveri,44.4,3.8,40.6,CRITICAL GAP,3.05,0.18
2023,Karnataka,Hubballi Dharwad City,44.4,3.8,40.6,CRITICAL GAP,6.27,0.18
2023,Karnataka,KGF,44.4,3.8,40.6,CRITICAL GAP,1.29,0.18
2023,Karnataka,Kodagu,44.4,3.8,40.6,CRITICAL GAP,4.86,0.18
2023,Karnataka,Kolar,44.4,3.8,40.6,CRITICAL GAP,2.49,0.18
2023,Karnataka,Koppal,44.4,3.8,40.6,CRITICAL GAP,5.94,0.18
2023,Karnataka,Mandya,44.4,3.8,40.6,CRITICAL GAP,4.82,0.18
2023,Karnataka,Mangaluru City,44.4,3.8,40.6,CRITICAL GAP,2.91,0.18
2023,Karnataka,Mysuru City,44.4,3.8,40.6,CRITICAL GAP,3.25,0.18
2023,Karnataka,Mysuru District,44.4,3.8,40.6,CRITICAL GAP,5.27,0.18
2023,Karnataka,Raichur,44.4,3.8,40.6,CRITICAL GAP,5.86,0.18
2023,Karnataka,KRailways,44.4,3.8,40.6,CRITICAL GAP,0.06,0.18
2023,Karnataka,Ramanagara,44.4,3.8,40.6,CRITICAL GAP,4.82,0.18
2023,Karnataka,Shimoga,44.4,3.8,40.6,CRITICAL GAP,5.11,0.18
2023,Karnataka,Tumakuru,44.4,3.8,40.6,CRITICAL GAP,5.83,0.18
2023,Karnataka,Udupi,44.4,3.8,40.6,CRITICAL GAP,3.77,0.18
2023,Karnataka,Uttara Kannada,44.4,3.8,40.6,CRITICAL GAP,4.36,0.18
2023,Karnataka,Yadgiri,44.4,3.8,40.6,CRITICAL GAP,2.52,0.18
2023,Karnataka,Belagavi City,44.4,3.8,40.6,CRITICAL GAP,4.37,0.18
2023,Karnataka,Kalaburgi City,44.4,3.8,40.6,CRITICAL GAP,5.77,0.18
2023,Karnataka,Vijayanagara,44.4,3.8,40.6,CRITICAL GAP,4.65,0.18
2023,Karnataka,Total Districts ,44.4,3.8,40.6,CRITICAL GAP,213.88,0.18
2024,Karnataka,Bagalkot,44.4,3.8,40.6,CRITICAL GAP,0.87,0.18
2024,Karnataka,Bengaluru City,44.4,3.8,40.6,CRITICAL GAP,22.01,0.18
2024,Karnataka,Bengaluru District,44.4,3.8,40.6,CRITICAL GAP,2.63,0.18
2024,Karnataka,Belagavi District,44.4,3.8,40.6,CRITICAL GAP,2.02,0.18
2024,Karnataka,Ballari,44.4,3.8,40.6,CRITICAL GAP,1.01,0.18
2024,Karnataka,Bidar,44.4,3.8,40.6,CRITICAL GAP,1.12,0.18
2024,Karnataka,Vijayapura,44.4,3.8,40.6,CRITICAL GAP,3.02,0.18
2024,Karnataka,Chikkaballapura,44.4,3.8,40.6,CRITICAL GAP,2.56,0.18
2024,Karnataka,Chamarajnagar,44.4,3.8,40.6,CRITICAL GAP,1.74,0.18
2024,Karnataka,Chikkamagaluru,44.4,3.8,40.6,CRITICAL GAP,1.18,0.18
2024,Karnataka,Chitradurga,44.4,3.8,40.6,CRITICAL GAP,2.67,0.18
2024,Karnataka,Dakshina Kannada,44.4,3.8,40.6,CRITICAL GAP,0.87,0.18
2024,Karnataka,Davanagere,44.4,3.8,40.6,CRITICAL GAP,1.65,0.18
2024,Karnataka,Dharwad,44.4,3.8,40.6,CRITICAL GAP,0.47,0.18
2024,Karnataka,Gadag,44.4,3.8,40.6,CRITICAL GAP,1.31,0.18
2024,Karnataka,Kalaburgi,44.4,3.8,40.6,CRITICAL GAP,1.68,0.18
2024,Karnataka,Hassan,44.4,3.8,40.6,CRITICAL GAP,2.35,0.18
2024,Karnataka,Haveri,44.4,3.8,40.6,CRITICAL GAP,1.85,0.18
2024,Karnataka,Hubballi Dharwad City,44.4,3.8,40.6,CRITICAL GAP,1.96,0.18
2024,Karnataka,KGF,44.4,3.8,40.6,CRITICAL GAP,0.62,0.18
2024,Karnataka,Kodagu,44.4,3.8,40.6,CRITICAL GAP,1.88,0.18
2024,Karnataka,Kolar,44.4,3.8,40.6,CRITICAL GAP,0.45,0.18
2024,Karnataka,Koppal,44.4,3.8,40.6,CRITICAL GAP,1.5,0.18
2024,Karnataka,Mandya,44.4,3.8,40.6,CRITICAL GAP,0.53,0.18
2024,Karnataka,Mangaluru City,44.4,3.8,40.6,CRITICAL GAP,3.42,0.18
2024,Karnataka,Mysuru City,44.4,3.8,40.6,CRITICAL GAP,2.8,0.18
2024,Karnataka,Mysuru District,44.4,3.8,40.6,CRITICAL GAP,1.46,0.18
2024,Karnataka,Raichur,44.4,3.8,40.6,CRITICAL GAP,1.76,0.18
2024,Karnataka,KRailways,44.4,3.8,40.6,CRITICAL GAP,0.0,0.18
2024,Karnataka,Ramanagara,44.4,3.8,40.6,CRITICAL GAP,1.93,0.18
2024,Karnataka,Shimoga,44.4,3.8,40.6,CRITICAL GAP,1.98,0.18
2024,Karnataka,Tumakuru,44.4,3.8,40.6,CRITICAL GAP,3.42,0.18
2024,Karnataka,Udupi,44.4,3.8,40.6,CRITICAL GAP,2.07,0.18
2024,Karnataka,Uttara Kannada,44.4,3.8,40.6,CRITICAL GAP,1.88,0.18
2024,Karnataka,Yadgiri,44.4,3.8,40.6,CRITICAL GAP,1.68,0.18
2024,Karnataka,Belagavi City,44.4,3.8,40.6,CRITICAL GAP,1.46,0.18
2024,Karnataka,Kalaburgi City,44.4,3.8,40.6,CRITICAL GAP,2.13,0.18
2024,Karnataka,Vijayanagara,44.4,3.8,40.6,CRITICAL GAP,1.12,0.18
2024,Karnataka,Total Districts ,44.4,3.8,40.6,CRITICAL GAP,84.03,0.18
2021,Bihar,Araria,40.0,3.5,36.5,HIGH GAP,3.15,0.33
