Year,prev_year,State,District,current_crime_rate,prev_crime_rate,yoy_absolute_change,yoy_percent_change,trend_direction
2023,2022,Madhya Pradesh,Shivpuri,14.36,12.54,1.82,14.47,STABLE
2024,2023,Nagaland,Peren,3.65,1.83,1.82,99.84,STABLE
2024,2023,Chhattisgarh,Jagdalpur,4.14,2.33,1.81,77.43,STABLE
2022,2021,Jammu & Kashmir,Poonch,6.54,4.73,1.81,38.18,STABLE
2023,2022,Rajasthan,Jaipur West,29.94,28.13,1.81,6.45,STABLE
2022,2021,Madhya Pradesh,Khandwa,9.76,7.97,1.79,22.53,STABLE
2024,2023,Jharkhand,Dumka,4.41,2.63,1.78,67.54,STABLE
2022,2021,Karnataka,Shimoga,6.2,4.42,1.78,40.42,STABLE
2023,2022,Arunachal Pradesh,Kameng West,2.65,0.88,1.77,199.99,STABLE
2024,2023,Arunachal Pradesh,Kamle,2.65,0.88,1.77,199.99,STABLE
2024,2023,Arunachal Pradesh,Pakkessang,1.77,0.0,1.77,,STABLE
2022,2021,Arunachal Pradesh,Siang,1.77,0.0,1.77,,STABLE
2022,2021,Arunachal Pradesh,Subansiri Lower,2.65,0.88,1.77,199.99,STABLE
2023,2022,Bihar,Jehanabad,4.71,2.94,1.77,60.4,STABLE
2024,2023,Arunachal Pradesh,Longding,3.53,1.77,1.76,99.8,STABLE
2022,2021,Jammu & Kashmir,Srinagar,5.84,4.08,1.76,43.22,STABLE
2022,2021,Maharashtra,Nagpur Commr.,10.3,8.55,1.75,20.54,STABLE
2022,2021,Uttar Pradesh,Khiri,13.77,12.02,1.75,14.56,STABLE
2022,2021,Maharashtra,Bhandara,5.43,3.69,1.74,46.97,STABLE
2022,2021,Kerala,Wayanadu,8.36,6.64,1.72,25.89,STABLE
2022,2021,Madhya Pradesh,Shajapur,10.06,8.34,1.72,20.69,STABLE
2023,2021,Nagaland,Longleng,1.72,0.0,1.72,,STABLE
2023,2022,Uttar Pradesh,Muzaffarnagar,9.34,7.62,1.72,22.6,STABLE
2023,2022,Chhattisgarh,Raigarh,5.01,3.3,1.71,51.77,STABLE
2023,2022,Himachal Pradesh,Total Districts ,38.5,36.79,1.71,4.65,STABLE
2022,2021,Uttar Pradesh,Rampur,5.51,3.8,1.71,45.11,STABLE
2022,2021,Uttar Pradesh,Balrampur,3.16,1.46,1.7,116.9,STABLE
2023,2022,Odisha,Cuttack,5.7,4.01,1.69,42.18,STABLE
2022,2021,Uttar Pradesh,Hapur,10.92,9.23,1.69,18.26,STABLE
2022,2021,Meghalaya,Ri-Bhoi,3.7,2.02,1.68,83.56,STABLE
2023,2022,D&N Haveli and Daman & Diu,Diu,3.34,1.67,1.67,100.02,STABLE
2022,2021,Uttar Pradesh,Kannauj,28.34,26.67,1.67,6.28,STABLE
2023,2022,A&N Islands,North & Middle Andaman,1.65,0.0,1.65,,STABLE
2024,2023,Jharkhand,Ramgarh,5.31,3.66,1.65,44.94,STABLE
2023,2022,Kerala,Alapuzha,9.61,7.96,1.65,20.8,STABLE
2022,2021,Odisha,Jharsuguda,18.16,16.51,1.65,10.02,STABLE
2022,2021,Odisha,Kalahandi,16.65,15.0,1.65,11.0,STABLE
2024,2023,Bihar,Kishanganj,5.14,3.5,1.64,46.94,STABLE
2022,2021,Manipur,Total Districts ,14.25,12.61,1.64,13.04,STABLE
2023,2022,Arunachal Pradesh,Lower Dibang Valley,1.61,0.0,1.61,,STABLE
2022,2021,Punjab,SAS Nagar,10.81,9.21,1.6,17.41,STABLE
2023,2022,Rajasthan,Tonk,28.57,26.98,1.59,5.89,STABLE
2023,2022,Bihar,Munger,3.81,2.23,1.58,71.22,STABLE
2022,2021,Uttar Pradesh,Ballia,5.74,4.16,1.58,37.97,STABLE
2022,2021,Punjab,Moga,3.67,2.1,1.57,75.11,STABLE
2022,2021,Rajasthan,Jaipur Rural,8.81,7.24,1.57,21.62,STABLE
2023,2022,Bihar,Lakhisarai,4.6,3.04,1.56,51.28,STABLE
2022,2021,Uttarakhand,Chamoli,2.89,1.33,1.56,116.92,STABLE
2024,2023,Goa,CID,1.79,0.24,1.55,650.6,STABLE
2022,2021,Kerala,Total Districts ,196.36,194.81,1.55,0.8,STABLE
2023,2022,Telangana,Bhadradri Kothagudem,12.93,11.38,1.55,13.65,STABLE
2023,2022,Uttar Pradesh,Hardoi,6.76,5.21,1.55,29.87,STABLE
2023,2022,Mizoram,Saiha,1.54,0.0,1.54,,STABLE
2023,2022,Tamil Nadu,Theni,6.91,5.37,1.54,28.58,STABLE
2024,2023,Assam,Bongaigaon,11.3,9.77,1.53,15.67,STABLE
2022,2021,Madhya Pradesh,Jhabua,5.43,3.9,1.53,39.15,STABLE
2024,2023,Jharkhand,Lohardagga,4.98,3.46,1.52,44.0,STABLE
2023,2022,Karnataka,Hassan,4.85,3.33,1.52,45.71,STABLE
2022,2021,Maharashtra,Nanded,10.37,8.85,1.52,17.21,STABLE
2022,2021,Odisha,Kendrapara,14.79,13.28,1.51,11.36,STABLE
2022,2021,Bihar,Kaimur(Bhabhua),3.05,1.55,1.5,96.71,STABLE
2022,2021,Uttar Pradesh,Banda,12.66,11.16,1.5,13.41,STABLE
2022,2021,Rajasthan,Chittorgarh,25.67,24.18,1.49,6.15,STABLE
2022,2021,Rajasthan,Jaipur North,16.78,15.29,1.49,9.74,STABLE
2023,2022,Chhattisgarh,Janjgir,6.84,5.36,1.48,27.71,STABLE
2023,2022,Punjab,Fazilka,6.59,5.11,1.48,29.0,STABLE
2024,2023,Assam,Golaghat,5.13,3.67,1.46,39.87,STABLE
2022,2021,Kerala,Ernakulam Rural,10.38,8.93,1.45,16.27,STABLE
2024,2023,Maharashtra,Ratnagiri,3.23,1.78,1.45,81.79,STABLE
2023,2021,Nagaland,Total Districts ,4.35,2.9,1.45,49.96,STABLE
2024,2023,D&N Haveli and Daman & Diu,D&N Haveli,4.29,2.86,1.43,50.01,STABLE
2022,2021,Madhya Pradesh,Datia,13.15,11.72,1.43,12.24,STABLE
2022,2021,Maharashtra,Navi Mumbai,9.74,8.31,1.43,17.2,STABLE
2022,2021,West Bengal,Baruipur Police,32.18,30.75,1.43,4.65,STABLE
2023,2022,Andhra Pradesh,YSR,12.52,11.1,1.42,12.78,STABLE
2022,2021,Bihar,Aurangabad,3.53,2.11,1.42,66.95,STABLE
2023,2022,Odisha,Nuapada,7.12,5.7,1.42,24.95,STABLE
2023,2022,Uttar Pradesh,Fatehpur,9.68,8.26,1.42,17.23,STABLE
2024,2023,Uttar Pradesh,Mau,3.31,1.89,1.42,74.94,STABLE
2023,2022,Bihar,Rohtas,3.44,2.03,1.41,69.7,STABLE
2022,2021,Madhya Pradesh,Ashok Nagar,9.48,8.07,1.41,17.49,STABLE
2023,2022,Madhya Pradesh,Indore Rural,4.91,3.5,1.41,40.17,STABLE
2022,2021,Madhya Pradesh,Mandla,8.41,7.01,1.4,20.03,STABLE
2023,2022,Kerala,Palakkad,12.07,10.68,1.39,13.05,STABLE
2023,2022,Madhya Pradesh,Sidhi,13.81,12.42,1.39,11.17,STABLE
2022,2021,Gujarat,Rajkot City,4.14,2.77,1.37,49.7,STABLE
2023,2022,Madhya Pradesh,Chhindwara,7.4,6.03,1.37,22.72,STABLE
2024,2023,Manipur,Total Districts ,11.24,9.87,1.37,13.93,STABLE
2022,2021,Rajasthan,Karauli,27.73,26.36,1.37,5.21,STABLE
2023,2022,Uttar Pradesh,Raibareilly,7.23,5.86,1.37,23.29,STABLE
2023,2022,Karnataka,Vijayapura,8.63,7.28,1.35,18.51,STABLE
2022,2021,Telangana,Nirmal,3.49,2.14,1.35,63.06,STABLE
2022,2021,Himachal Pradesh,Una,5.01,3.67,1.34,36.49,STABLE
2024,2023,Meghalaya,Garo Hills East,1.68,0.34,1.34,400.08,STABLE
2022,2021,Meghalaya,Garo Hills West,7.39,6.05,1.34,22.21,STABLE
2023,2022,Meghalaya,Jaintia Hills West,4.03,2.69,1.34,49.95,STABLE
2023,2022,Mizoram,Serchhip,1.34,0.0,1.34,,STABLE
2024,2023,Mizoram,Serchhip,2.68,1.34,1.34,100.13,STABLE
2022,2021,Uttarakhand,Champawat,4.02,2.68,1.34,50.04,STABLE
2023,2022,Maharashtra,Parbhani,15.87,14.54,1.33,9.15,STABLE
2023,2022,Bihar,Khagaria,3.34,2.03,1.31,64.17,STABLE
2023,2022,Goa,Total Districts ,4.29,2.98,1.31,43.91,STABLE
2023,2022,Maharashtra,Washim,20.41,19.1,1.31,6.84,STABLE
2023,2022,Gujarat,Vadodara City,3.15,1.86,1.29,69.55,STABLE
2022,2021,Karnataka,Hubballi Dharwad City,5.55,4.26,1.29,30.36,STABLE
2022,2021,Maharashtra,Sangli,7.58,6.29,1.29,20.59,STABLE
2023,2022,Jammu & Kashmir,Kathua,5.36,4.09,1.27,31.02,STABLE
2023,2022,Ladakh,Total Districts ,5.07,3.8,1.27,33.27,STABLE
2022,2021,Mizoram,Hnahthial,1.27,0.0,1.27,,STABLE
2024,2023,Mizoram,Khawzawl,1.27,0.0,1.27,,STABLE
2022,2021,Maharashtra,Nandurbar,6.96,5.7,1.26,22.16,STABLE
2023,2022,Kerala,Kannur City,7.51,6.27,1.24,19.72,STABLE
2024,2023,Himachal Pradesh,Hamirpur,2.49,1.26,1.23,97.63,STABLE
2023,2022,Karnataka,Bengaluru District,11.54,10.31,1.23,11.96,STABLE
2022,2021,Ladakh,Kargil,1.85,0.62,1.23,199.56,STABLE
2022,2021,Madhya Pradesh,Shahdol,20.07,18.84,1.23,6.52,STABLE
2022,2021,Rajasthan,Dausa,26.34,25.11,1.23,4.89,STABLE
2022,2021,West Bengal,Diamond Harbour Police,16.34,15.11,1.23,8.11,STABLE
2024,2023,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,3.87,2.65,1.22,45.96,STABLE
2022,2021,Gujarat,Kheda,2.76,1.55,1.21,78.04,STABLE
2024,2023,Puducherry,Total Districts ,4.08,2.87,1.21,42.06,STABLE
2023,2022,Telangana,Rajanna Siricilla,6.62,5.41,1.21,22.43,STABLE
2022,2021,Andhra Pradesh,West Godavari,11.18,9.98,1.2,11.99,STABLE
2023,2022,Bihar,Araria,4.14,2.94,1.2,40.9,STABLE
2022,2021,Maharashtra,Mira Bhayandar Vasai Virar Commr.,13.64,12.44,1.2,9.67,STABLE
2022,2021,Punjab,Patiala,8.49,7.29,1.2,16.41,STABLE
2021,2021,Sikkim,West,1.27,0.07,1.2,1757.2,STABLE
2023,2022,Uttar Pradesh,Baghpat,9.21,8.01,1.2,15.01,STABLE
2024,2023,Arunachal Pradesh,Lohit,1.79,0.6,1.19,199.98,STABLE
2023,2022,Arunachal Pradesh,Changlang,2.35,1.17,1.18,100.29,STABLE
2023,2022,Madhya Pradesh,Singrauli,16.75,15.57,1.18,7.57,STABLE
2024,2023,Nagaland,Kiphire,1.18,0.0,1.18,,STABLE
2024,2023,Chhattisgarh,Balod,2.39,1.22,1.17,95.95,STABLE
2023,2022,Rajasthan,Jodhpur West,13.76,12.59,1.17,9.25,STABLE
2022,2021,Bihar,Patna,5.97,4.81,1.16,24.1,STABLE
2024,2023,Chhattisgarh,Balodbazar,3.18,2.02,1.16,57.81,STABLE
2022,2021,Maharashtra,Washim,19.1,17.94,1.16,6.46,STABLE
2022,2021,Odisha,Rourkela,9.52,8.36,1.16,13.86,STABLE
2022,2021,Himachal Pradesh,Hamirpur,2.87,1.73,1.14,65.67,STABLE
2022,2021,Uttar Pradesh,Gonda,2.68,1.54,1.14,73.5,STABLE
2023,2022,Rajasthan,Dungarpur,14.59,13.46,1.13,8.36,STABLE
2021,2021,Sikkim,South,1.18,0.06,1.12,1753.61,STABLE
2023,2022,West Bengal,Bankura,9.07,7.95,1.12,14.03,STABLE
2024,2023,Chhattisgarh,Sarangarh-Bilaigarh,2.65,1.54,1.11,72.32,STABLE
2024,2023,Uttarakhand,Chamoli,2.0,0.89,1.11,125.17,STABLE
2022,2021,Haryana,Fatehabad,15.78,14.68,1.1,7.51,STABLE
2024,2023,Manipur,Tengnoupal,1.1,0.0,1.1,,STABLE
2022,2021,Chhattisgarh,Raipur,6.42,5.33,1.09,20.5,STABLE
2023,2022,Madhya Pradesh,Satna,7.72,6.63,1.09,16.4,STABLE
2022,2021,Madhya Pradesh,Ujjain,12.12,11.03,1.09,9.89,STABLE
2023,2022,Odisha,Nayagarh,11.56,10.48,1.08,10.34,STABLE
2023,2022,Rajasthan,Jaipur South,20.56,19.48,1.08,5.57,STABLE
2023,2022,Uttar Pradesh,Auraiya,19.86,18.78,1.08,5.73,STABLE
2023,2022,Uttar Pradesh,Jaunpur,5.59,4.51,1.08,24.0,STABLE
2022,2021,Karnataka,Mysuru City,3.42,2.35,1.07,45.36,STABLE
2022,2021,Kerala,Kozhikode Commr.,12.94,11.87,1.07,9.05,STABLE
2022,2021,West Bengal,Purba Bardhaman,25.3,24.23,1.07,4.4,STABLE
2023,2022,Goa,North Goa,2.55,1.49,1.06,71.34,STABLE
2024,2023,Himachal Pradesh,Baddi,3.73,2.67,1.06,39.92,STABLE
2022,2021,Maharashtra,Dhule,17.0,15.94,1.06,6.63,STABLE
2023,2022,Tripura,Unakoti,6.11,5.05,1.06,20.95,STABLE
2022,2021,West Bengal,Sundarban Police,18.71,17.65,1.06,6.01,STABLE
2023,2022,Maharashtra,Amravati Rural,8.28,7.23,1.05,14.6,STABLE
2022,2021,Tamil Nadu,Dindigul,2.62,1.57,1.05,66.86,STABLE
2022,2021,Telangana,Adilabad,5.36,4.31,1.05,24.24,STABLE
2024,2023,Uttar Pradesh,Rampur,5.55,4.5,1.05,23.21,STABLE
2023,2022,Gujarat,Patan,3.24,2.2,1.04,47.26,STABLE
2022,2021,Gujarat,Porbandar,2.23,1.19,1.04,87.67,STABLE
2023,2022,Jharkhand,Ranchi,9.04,8.0,1.04,13.05,STABLE
2023,2022,Odisha,DCP CTC,12.21,11.17,1.04,9.33,STABLE
2022,2021,Telangana,Vikarabad,4.17,3.13,1.04,33.4,STABLE
2023,2022,Uttar Pradesh,Kasganj,6.42,5.38,1.04,19.37,STABLE
2023,2022,Bihar,Bhagalpur,3.38,2.35,1.03,44.0,STABLE
2023,2022,Maharashtra,Beed,20.78,19.75,1.03,5.2,STABLE
2023,2022,Odisha,Puri,10.19,9.16,1.03,11.21,STABLE
2022,2021,Jharkhand,Gumla,5.68,4.66,1.02,21.76,STABLE
2022,2021,A&N Islands,Nicobar,1.01,0.0,1.01,,STABLE
2023,2022,A&N Islands,Total Districts ,10.12,9.11,1.01,11.12,STABLE
2023,2022,Kerala,Kottayam,9.73,8.72,1.01,11.59,STABLE
2024,2023,Manipur,Imphal West,3.02,2.01,1.01,49.92,STABLE
2024,2023,Meghalaya,Jaintia Hills East,3.36,2.35,1.01,42.88,STABLE
2022,2021,Meghalaya,Total Districts ,34.27,33.26,1.01,3.04,STABLE
2023,2022,Telangana,Jayashankar Bhupalpalli,3.63,2.62,1.01,38.6,STABLE
2024,2023,Uttar Pradesh,Gonda,4.1,3.09,1.01,32.71,STABLE
2022,2021,Uttar Pradesh,Meerut,19.24,18.23,1.01,5.53,STABLE
2023,2022,Gujarat,Total Districts ,97.67,96.67,1.0,1.04,STABLE
2022,2021,Karnataka,Kalaburgi,6.55,5.55,1.0,18.11,STABLE
2022,2021,Madhya Pradesh,Betul,4.64,3.64,1.0,27.37,STABLE
2024,2023,Madhya Pradesh,Sehore,12.47,11.47,1.0,8.7,STABLE
2024,2023,Meghalaya,Khasi Hills East,10.41,9.41,1.0,10.67,STABLE
2023,2022,Andhra Pradesh,Bapatla,11.63,10.66,0.97,9.09,STABLE
2023,2022,Jharkhand,Lohardagga,3.46,2.49,0.97,39.09,STABLE
2024,2023,Nagaland,Noklak,0.97,0.0,0.97,,STABLE
2022,2021,Bihar,Sheikhpura,4.51,3.55,0.96,26.94,STABLE
2023,2022,Maharashtra,Latur,16.16,15.2,0.96,6.31,STABLE
2022,2021,Karnataka,Mysuru District,7.11,6.16,0.95,15.39,STABLE
2022,2021,Karnataka,Raichur,6.54,5.59,0.95,16.99,STABLE
2023,2022,Karnataka,Vijayanagara,4.65,3.7,0.95,25.77,STABLE
2022,2021,Uttar Pradesh,Shahjahanpur,11.19,10.24,0.95,9.29,STABLE
2023,2022,Arunachal Pradesh,Kurung Kumey,0.94,0.0,0.94,,STABLE
2022,2021,Jammu & Kashmir,Udhampur,7.05,6.11,0.94,15.37,STABLE
2023,2022,Chhattisgarh,Mahasamund,2.95,2.02,0.93,45.98,STABLE
2022,2021,Tamil Nadu,Perambalur,2.31,1.38,0.93,66.83,STABLE
2022,2021,Telangana,Mahabubnagar,4.56,3.63,0.93,25.52,STABLE
2022,2021,Madhya Pradesh,Morena,16.98,16.06,0.92,5.76,STABLE
2024,2023,Maharashtra,Sindhudurg,2.35,1.43,0.92,64.01,STABLE
2023,2022,West Bengal,Purba Bardhaman,26.22,25.3,0.92,3.65,STABLE
2022,2021,Kerala,Kozhikode Rural,12.74,11.83,0.91,7.66,STABLE
2024,2023,Puducherry,Puducherry,2.47,1.56,0.91,58.78,STABLE
2023,2022,Jharkhand,Palamu,5.74,4.84,0.9,18.57,STABLE
2023,2022,Karnataka,Tumakuru,5.83,4.93,0.9,18.27,STABLE
2022,2021,Tamil Nadu,Theni,5.37,4.47,0.9,20.22,STABLE
2023,2022,Telangana,Kamareddy ,6.79,5.89,0.9,15.36,STABLE
2023,2022,Arunachal Pradesh,Longding,1.77,0.88,0.89,100.37,STABLE
2024,2023,Arunachal Pradesh,Lower Siang,1.77,0.88,0.89,100.37,STABLE
2022,2021,Karnataka,Vijayapura,7.28,6.39,0.89,14.0,STABLE
2024,2023,Nagaland,Mokokchung,0.89,0.0,0.89,,STABLE
2023,2022,Punjab,Sangrur,3.99,3.1,0.89,28.72,STABLE
2023,2022,Uttar Pradesh,Bahraich,3.91,3.02,0.89,29.61,STABLE
2023,2022,Arunachal Pradesh,Kamle,0.88,0.0,0.88,,STABLE
2022,2021,Arunachal Pradesh,Leparada,0.88,0.0,0.88,,STABLE
2022,2021,Arunachal Pradesh,Longding,0.88,0.0,0.88,,STABLE
2022,2021,Arunachal Pradesh,Shiyomi,0.88,0.0,0.88,,STABLE
2024,2023,Arunachal Pradesh,Siang,2.65,1.77,0.88,49.99,STABLE
2024,2023,Jharkhand,Jamtara,4.84,3.96,0.88,22.3,STABLE
2023,2022,Tamil Nadu,Krishnagiri,1.34,0.46,0.88,189.68,STABLE
2023,2022,Gujarat,Surat City,5.59,4.72,0.87,18.47,STABLE
2023,2022,Puducherry,Karaikal,0.87,0.0,0.87,,STABLE
2023,2022,Bihar,Banka,2.56,1.71,0.85,49.76,STABLE
2024,2023,Delhi,RAILWAY,0.85,0.0,0.85,,STABLE
2023,2022,Jammu & Kashmir,Jammu,7.73,6.88,0.85,12.4,STABLE
2024,2023,Jharkhand,Gumla,5.94,5.09,0.85,16.72,STABLE
2022,2021,Maharashtra,Buldhana,8.81,7.96,0.85,10.68,STABLE
2022,2021,Karnataka,Mangaluru City,2.63,1.79,0.84,46.72,STABLE
2023,2022,Himachal Pradesh,Una,5.84,5.01,0.83,16.67,STABLE
2024,2023,Bihar,Katihar,3.26,2.44,0.82,33.88,STABLE
2024,2023,Jammu & Kashmir,Kulgam,3.28,2.46,0.82,33.43,STABLE
2023,2022,Karnataka,Udupi,3.77,2.95,0.82,27.61,STABLE
2024,2023,Tamil Nadu,Karur,1.47,0.65,0.82,124.94,STABLE
2022,2021,Uttar Pradesh,Kushi Nagar,4.73,3.92,0.81,20.65,STABLE
2024,2023,Bihar,Purnea,5.68,4.89,0.79,16.06,STABLE
2022,2021,Bihar,Samastipur,2.71,1.92,0.79,41.29,STABLE
2022,2021,Haryana,Bhiwani,25.8,25.01,0.79,3.18,STABLE
2022,2021,Punjab,Mansa,5.08,4.29,0.79,18.34,STABLE
2023,2022,Tripura,Kowai,2.3,1.51,0.79,52.66,STABLE
2024,2023,Arunachal Pradesh,Tirap,0.78,0.0,0.78,,STABLE
2022,2021,Karnataka,Tumakuru,4.93,4.15,0.78,18.93,STABLE
2022,2021,Karnataka,Mandya,5.2,4.43,0.77,17.37,STABLE
2022,2021,Uttar Pradesh,Sidharthnagar,1.81,1.04,0.77,74.58,STABLE
2023,2022,Odisha,Gajapati,8.13,7.37,0.76,10.25,STABLE
2024,2023,Himachal Pradesh,Kangra,3.46,2.71,0.75,27.84,STABLE
2023,2022,Tamil Nadu,Dharmapuri,1.79,1.04,0.75,72.32,STABLE
2022,2021,Uttar Pradesh,Maharajganj,7.1,6.35,0.75,11.81,STABLE
2023,2022,West Bengal,Basirhat,15.77,15.02,0.75,4.96,STABLE
2022,2021,Bihar,Arwal,3.47,2.73,0.74,27.12,STABLE
2023,2022,Chhattisgarh,Gariyaband,2.7,1.96,0.74,37.61,STABLE
2022,2021,Haryana,Hansi,9.94,9.2,0.74,8.03,STABLE
2022,2021,Uttar Pradesh,Jhansi,14.31,13.57,0.74,5.42,STABLE
2023,2022,West Bengal,Jhargram,3.12,2.38,0.74,31.32,STABLE
2023,2022,A&N Islands,South Andaman,6.57,5.84,0.73,12.45,STABLE
2023,2022,Maharashtra,Nanded,11.1,10.37,0.73,7.0,STABLE
2023,2022,West Bengal,Raiganj,6.0,5.27,0.73,13.81,STABLE
2023,2022,Bihar,Patna,6.69,5.97,0.72,12.02,STABLE
2022,2021,Gujarat,Navsari,1.44,0.72,0.72,100.18,STABLE
2023,2022,Karnataka,Hubballi Dharwad City,6.27,5.55,0.72,13.06,STABLE
2024,2023,Tamil Nadu,Tiruppattur,1.12,0.4,0.72,182.03,STABLE
2023,2022,Telangana,Medak,5.3,4.59,0.71,15.55,STABLE
2022,2021,Uttar Pradesh,Sitapur,6.88,6.17,0.71,11.56,STABLE
2023,2022,Andhra Pradesh,Anantapuramu,8.76,8.06,0.7,8.64,STABLE
2024,2023,Mizoram,Champhai,2.77,2.07,0.7,33.52,STABLE
2023,2022,Telangana,Karimnagar Commissionerate,7.74,7.04,0.7,9.94,STABLE
2023,2022,Uttar Pradesh,Mirzapur,5.96,5.26,0.7,13.34,STABLE
2024,2023,Jharkhand,Ranchi,9.73,9.04,0.69,7.62,STABLE
2022,2021,Tamil Nadu,Thirunelveli,1.23,0.54,0.69,127.13,STABLE
2024,2023,Uttarakhand,Almora,2.79,2.1,0.69,33.15,STABLE
2023,2022,Bihar,Begusarai,2.49,1.81,0.68,37.2,STABLE
2024,2023,Assam,Dhubri,7.67,7.0,0.67,9.51,STABLE
2022,2021,Bihar,Gaya,4.55,3.88,0.67,17.24,STABLE
2022,2021,Jammu & Kashmir,Rajouri,12.45,11.78,0.67,5.72,STABLE
2022,2021,Maharashtra,Satara,6.98,6.31,0.67,10.6,STABLE
2024,2023,Meghalaya,Garo Hills North,0.67,0.0,0.67,,STABLE
2024,2023,Meghalaya,Garo Hills South West,0.67,0.0,0.67,,STABLE
2023,2022,Meghalaya,Jaintia Hills East,2.35,1.68,0.67,39.9,STABLE
2022,2021,Meghalaya,Jaintia Hills West,2.69,2.02,0.67,33.45,STABLE
2023,2022,Meghalaya,Khasi Hills West,4.03,3.36,0.67,19.96,STABLE
2022,2021,Rajasthan,Banswara,16.88,16.21,0.67,4.16,STABLE
2023,2022,Uttar Pradesh,Shahjahanpur,11.86,11.19,0.67,5.96,STABLE
2023,2022,Uttarakhand,Champawat,4.69,4.02,0.67,16.7,STABLE
2022,2021,Karnataka,Dharwad,2.12,1.46,0.66,45.26,STABLE
2022,2021,Karnataka,Gadag,2.7,2.04,0.66,32.22,STABLE
2022,2021,Kerala,Pathanamthitta,10.17,9.51,0.66,6.9,STABLE
2023,2022,Ladakh,Leh,2.61,1.95,0.66,33.55,STABLE
2023,2022,Punjab,Ferozepur,3.15,2.49,0.66,26.26,STABLE
2024,2023,Jammu & Kashmir,Anantnag,2.42,1.77,0.65,36.45,STABLE
2023,2022,Jharkhand,Khunti,7.52,6.87,0.65,9.52,STABLE
2022,2021,Jharkhand,Deoghar,5.36,4.72,0.64,13.54,STABLE
2022,2021,Rajasthan,Baran,31.72,31.08,0.64,2.07,STABLE
2024,2023,Manipur,Churachandpur,0.63,0.0,0.63,,STABLE
2022,2021,West Bengal,Bidhannagar PC,8.37,7.74,0.63,8.16,STABLE
2023,2022,Bihar,Vaishali,3.66,3.04,0.62,20.58,STABLE
2023,2022,Jammu & Kashmir,Pulwama,1.86,1.24,0.62,49.85,STABLE
2023,2022,Karnataka,Davanagere,4.42,3.8,0.62,16.34,STABLE
2023,2022,Ladakh,Kargil,2.47,1.85,0.62,33.32,STABLE
2023,2022,Manipur,Thoubal,1.65,1.03,0.62,60.21,STABLE
2024,2023,Nagaland,Zunheboto,0.62,0.0,0.62,,STABLE
2022,2021,Telangana,Jayashankar Bhupalpalli,2.62,2.0,0.62,31.03,STABLE
2023,2022,Uttar Pradesh,Chandoli,4.83,4.21,0.62,14.68,STABLE
2023,2022,Himachal Pradesh,Mandi,5.22,4.61,0.61,13.24,STABLE
2022,2021,Uttar Pradesh,Sant Kabirnagar,3.3,2.69,0.61,22.72,STABLE
2024,2023,Madhya Pradesh,Khargone,5.52,4.92,0.6,12.17,STABLE
2023,2022,Maharashtra,Ratnagiri,1.78,1.18,0.6,50.27,STABLE
2022,2021,Rajasthan,Jalore,12.55,11.95,0.6,5.01,STABLE
2022,2021,Uttar Pradesh,Basti,2.36,1.76,0.6,33.77,STABLE
2023,2022,Bihar,Naugachia,1.21,0.62,0.59,95.19,STABLE
2023,2022,Chhattisgarh,Gaurela-Pendra-Marwari,1.54,0.95,0.59,61.34,STABLE
2023,2022,Telangana,Nirmal,4.08,3.49,0.59,16.84,STABLE
2022,2021,Telangana,Wanaparthy,1.97,1.38,0.59,42.76,STABLE
2024,2023,Uttar Pradesh,Maharajganj,1.98,1.39,0.59,42.12,STABLE
2023,2022,Uttar Pradesh,Sant Kabirnagar,3.89,3.3,0.59,17.71,STABLE
2022,2021,Arunachal Pradesh,Changlang,1.17,0.59,0.58,99.44,STABLE
2022,2021,Chhattisgarh,Gariyaband,1.96,1.38,0.58,42.16,STABLE
2022,2021,Jharkhand,Palamu,4.84,4.26,0.58,13.66,STABLE
2022,2021,Karnataka,Chitradurga,4.77,4.19,0.58,13.79,STABLE
2022,2021,Punjab,Barnala,4.38,3.8,0.58,15.37,STABLE
2023,2022,West Bengal,Purulia,5.97,5.39,0.58,10.86,STABLE
2022,2021,Odisha,Koraput,12.23,11.66,0.57,4.89,STABLE
2022,2021,Tamil Nadu,Karur,2.04,1.47,0.57,38.74,STABLE
2023,2022,Uttarakhand,Tehri Garhwal,4.78,4.21,0.57,13.41,STABLE
2023,2022,Andhra Pradesh,Chittoor,8.29,7.73,0.56,7.26,STABLE
2022,2021,Jammu & Kashmir,Handwara,1.53,0.97,0.56,57.01,STABLE
2023,2022,Jammu & Kashmir,Shopian,1.67,1.11,0.56,49.96,STABLE
2022,2021,Madhya Pradesh,Barwani,6.96,6.4,0.56,8.75,STABLE
2022,2021,Maharashtra,Amravati Commr.,5.18,4.62,0.56,12.03,STABLE
2022,2021,Uttar Pradesh,Mirzapur,5.26,4.7,0.56,11.88,STABLE
2023,2022,Bihar,Bettiah,3.85,3.3,0.55,16.83,STABLE
2023,2022,Goa,South Goa,1.36,0.81,0.55,66.97,STABLE
2023,2022,Gujarat,Banaskantha,3.56,3.01,0.55,18.44,STABLE
2023,2022,Gujarat,Morbi,1.28,0.73,0.55,76.42,STABLE
2023,2022,Jharkhand,Hazaribagh,7.72,7.17,0.55,7.68,STABLE
2022,2021,Jharkhand,Koderma,4.31,3.76,0.55,14.58,STABLE
2022,2021,Jharkhand,Ramgarh,3.85,3.3,0.55,16.77,STABLE
