Year,prev_year,State,District,current_crime_rate,prev_crime_rate,yoy_absolute_change,yoy_percent_change,trend_direction
2022,2021,Uttar Pradesh,Bijnor,13.65,5.5,8.15,148.11,WORSENING
2022,2021,Andhra Pradesh,Guntur,19.37,11.28,8.09,71.73,WORSENING
2024,2023,Chhattisgarh,Korba,13.69,5.84,7.85,134.53,WORSENING
2023,2022,Karnataka,Bengaluru City,50.58,42.8,7.78,18.18,WORSENING
2022,2021,Andhra Pradesh,Krishna,15.51,7.82,7.69,98.46,WORSENING
2022,2021,Madhya Pradesh,Neemuch,19.47,11.79,7.68,65.14,WORSENING
2023,2022,Odisha,Keonjhar,17.15,9.52,7.63,80.14,WORSENING
2022,2021,Haryana,Ambala,32.29,24.74,7.55,30.53,WORSENING
2022,2021,Madhya Pradesh,Jabalpur,21.0,13.45,7.55,56.14,WORSENING
2022,2021,Odisha,Ganjam,25.92,18.38,7.54,41.01,WORSENING
2024,2024,Tripura,South,7.7,0.41,7.29,1760.86,WORSENING
2024,2023,Nagaland,Total Districts ,11.6,4.35,7.25,166.6,WORSENING
2023,2022,Himachal Pradesh,Bilaspur,7.97,0.75,7.22,961.46,WORSENING
2022,2021,D&N Haveli and Daman & Diu,Total Districts ,15.73,8.58,7.15,83.34,WORSENING
2022,2021,Uttarakhand,Nainital,17.31,10.2,7.11,69.67,WORSENING
2022,2021,Rajasthan,Jaipur West,28.13,21.13,7.0,33.16,WORSENING
2022,2021,Rajasthan,Tonk,26.98,20.07,6.91,34.45,WORSENING
2022,2021,Rajasthan,Hanumangarh,44.15,37.29,6.86,18.4,WORSENING
2022,2021,Telangana,Rachakonda Commissionerate,53.17,46.35,6.82,14.7,WORSENING
2022,2021,Uttar Pradesh,Ghaziabad,18.61,11.87,6.74,56.8,WORSENING
2023,2022,Telangana,Hyderabad Commissionerate,54.38,47.65,6.73,14.13,WORSENING
2022,2021,Rajasthan,Bhilwara,42.89,36.36,6.53,17.97,WORSENING
2022,2021,Chhattisgarh,Total Districts ,119.42,112.9,6.52,5.78,WORSENING
2023,2022,Delhi,North-West,36.64,30.13,6.51,21.62,WORSENING
2024,2023,Goa,North Goa,9.04,2.55,6.49,254.33,WORSENING
2024,2023,D&N Haveli and Daman & Diu,Total Districts ,11.44,5.0,6.44,128.58,WORSENING
2022,2021,Rajasthan,Jhalawar,41.1,34.69,6.41,18.47,WORSENING
2024,2023,Mizoram,Total Districts ,27.26,20.92,6.34,30.29,WORSENING
2022,2021,Madhya Pradesh,Dindori,19.75,13.58,6.17,45.47,WORSENING
2024,2023,Chhattisgarh,Jashpur,11.23,5.11,6.12,119.98,WORSENING
2022,2021,Odisha,Angul,37.04,30.94,6.1,19.71,WORSENING
2022,2021,Uttar Pradesh,Prayagraj,35.67,29.58,6.09,20.59,WORSENING
2023,2022,Assam,Karimganj,27.81,21.8,6.01,27.58,WORSENING
2024,2023,Goa,South Goa,7.33,1.36,5.97,439.94,WORSENING
2022,2021,Tamil Nadu,Total Districts ,53.94,47.98,5.96,12.42,WORSENING
2023,2022,Delhi,SPUWAC,10.48,4.53,5.95,131.18,WORSENING
2022,2021,Haryana,Rewari,25.3,19.41,5.89,30.32,WORSENING
2022,2021,Madhya Pradesh,Sagar,18.97,13.31,5.66,42.55,WORSENING
2022,2021,Haryana,Gurugram,48.95,43.36,5.59,12.9,WORSENING
2022,2021,Maharashtra,Aurangabad Rural,11.84,6.25,5.59,89.46,WORSENING
2022,2021,Delhi,Rohini,50.72,45.14,5.58,12.35,WORSENING
2023,2022,West Bengal,Diamond Harbour Police,21.9,16.34,5.56,34.05,WORSENING
2022,2021,Delhi,New Delhi,18.98,13.47,5.51,40.89,WORSENING
2023,2022,Andhra Pradesh,Nandyal,9.06,3.64,5.42,149.15,WORSENING
2022,2021,Lakshadweep,Lakshadweep,9.44,4.05,5.39,133.3,WORSENING
2022,2021,Lakshadweep,Total Districts ,9.44,4.05,5.39,133.3,WORSENING
2022,2021,Madhya Pradesh,Ratlam,14.64,9.32,5.32,57.04,WORSENING
2024,2023,Arunachal Pradesh,Kameng East,9.72,4.42,5.3,120.06,WORSENING
